subject,intensity,seed,detected,recognized,score
Jiang Zemin,0.0,0,1,1,0.755728006362915
Jiang Zemin,0.1,0,1,1,0.7444291710853577
Jiang Zemin,0.2,0,1,1,0.7413285374641418
Jiang Zemin,0.3,0,1,1,0.6586695909500122
Jiang Zemin,0.4,0,1,1,0.6419516205787659
Jiang Zemin,0.5,0,1,1,0.4775344133377075
Jiang Zemin,0.6,0,1,0,0.28865912556648254
Jiang Zemin,0.7,0,0,0,nan
Jiang Zemin,0.8,0,0,0,nan
Jiang Zemin,0.9,0,0,0,nan
Jiang Zemin,1.0,0,0,0,nan
Jiang Zemin,0.0,1,1,1,0.41972559690475464
Jiang Zemin,0.1,1,1,1,0.41806530952453613
Jiang Zemin,0.2,1,1,1,0.40766677260398865
Jiang Zemin,0.3,1,1,1,0.36561140418052673
Jiang Zemin,0.4,1,1,0,0.3621882200241089
Jiang Zemin,0.5,1,1,0,0.2035798728466034
Jiang Zemin,0.6,1,0,0,nan
Jiang Zemin,0.7,1,0,0,nan
Jiang Zemin,0.8,1,0,0,nan
Jiang Zemin,0.9,1,0,0,nan
Jiang Zemin,1.0,1,0,0,nan
Jiang Zemin,0.0,2,1,1,0.6679008603096008
Jiang Zemin,0.1,2,1,1,0.6651787757873535
Jiang Zemin,0.2,2,1,1,0.6525073051452637
Jiang Zemin,0.3,2,1,1,0.6106836795806885
Jiang Zemin,0.4,2,1,1,0.517200767993927
Jiang Zemin,0.5,2,1,1,0.3819540739059448
Jiang Zemin,0.6,2,1,0,0.2177926003932953
Jiang Zemin,0.7,2,0,0,nan
Jiang Zemin,0.8,2,0,0,nan
Jiang Zemin,0.9,2,0,0,nan
Jiang Zemin,1.0,2,0,0,nan
Jiang Zemin,0.0,3,1,1,0.4880807101726532
Jiang Zemin,0.1,3,1,1,0.48686134815216064
Jiang Zemin,0.2,3,1,1,0.48450666666030884
Jiang Zemin,0.3,3,1,1,0.4813865125179291
Jiang Zemin,0.4,3,1,0,0.3261519968509674
Jiang Zemin,0.5,3,1,0,0.2772196829319
Jiang Zemin,0.6,3,0,0,nan
Jiang Zemin,0.7,3,0,0,nan
Jiang Zemin,0.8,3,0,0,nan
Jiang Zemin,0.9,3,0,0,nan
Jiang Zemin,1.0,3,0,0,nan
Jiang Zemin,0.0,4,1,1,0.5796047449111938
Jiang Zemin,0.1,4,1,1,0.5809716582298279
Jiang Zemin,0.2,4,1,1,0.5761846899986267
Jiang Zemin,0.3,4,1,1,0.5637471675872803
Jiang Zemin,0.4,4,1,1,0.5247477889060974
Jiang Zemin,0.5,4,1,1,0.44274118542671204
Jiang Zemin,0.6,4,0,0,nan
Jiang Zemin,0.7,4,0,0,nan
Jiang Zemin,0.8,4,0,0,nan
Jiang Zemin,0.9,4,0,0,nan
Jiang Zemin,1.0,4,0,0,nan
Jiang Zemin,0.0,5,1,1,0.6249611377716064
Jiang Zemin,0.1,5,1,1,0.6219558119773865
Jiang Zemin,0.2,5,1,1,0.605122447013855
Jiang Zemin,0.3,5,1,1,0.5596349239349365
Jiang Zemin,0.4,5,1,1,0.46349847316741943
Jiang Zemin,0.5,5,1,0,0.2920471131801605
Jiang Zemin,0.6,5,1,0,0.15370172262191772
Jiang Zemin,0.7,5,0,0,nan
Jiang Zemin,0.8,5,0,0,nan
Jiang Zemin,0.9,5,0,0,nan
Jiang Zemin,1.0,5,0,0,nan
John Negroponte,0.0,0,1,1,0.5438553094863892
John Negroponte,0.1,0,1,1,0.5508857369422913
John Negroponte,0.2,0,1,1,0.5488526821136475
John Negroponte,0.3,0,1,1,0.5361541509628296
John Negroponte,0.4,0,1,1,0.521884560585022
John Negroponte,0.5,0,1,1,0.48341232538223267
John Negroponte,0.6,0,1,0,0.09423255920410156
John Negroponte,0.7,0,0,0,nan
John Negroponte,0.8,0,0,0,nan
John Negroponte,0.9,0,0,0,nan
John Negroponte,1.0,0,0,0,nan
John Negroponte,0.0,1,1,0,0.23675896227359772
John Negroponte,0.1,1,1,0,0.23325610160827637
John Negroponte,0.2,1,1,0,0.2188178300857544
John Negroponte,0.3,1,1,0,0.18377968668937683
John Negroponte,0.4,1,1,0,0.17862211167812347
John Negroponte,0.5,1,1,0,0.15835513174533844
John Negroponte,0.6,1,1,0,0.041201505810022354
John Negroponte,0.7,1,0,0,nan
John Negroponte,0.8,1,0,0,nan
John Negroponte,0.9,1,0,0,nan
John Negroponte,1.0,1,0,0,nan
John Negroponte,0.0,2,1,1,0.5340790748596191
John Negroponte,0.1,2,1,1,0.5303357839584351
John Negroponte,0.2,2,1,1,0.5291869044303894
John Negroponte,0.3,2,1,1,0.5043741464614868
John Negroponte,0.4,2,1,1,0.4859890639781952
John Negroponte,0.5,2,1,1,0.374953031539917
John Negroponte,0.6,2,1,0,0.22048194706439972
John Negroponte,0.7,2,0,0,nan
John Negroponte,0.8,2,0,0,nan
John Negroponte,0.9,2,0,0,nan
John Negroponte,1.0,2,0,0,nan
John Negroponte,0.0,3,1,0,0.26442432403564453
John Negroponte,0.1,3,1,0,0.26262137293815613
John Negroponte,0.2,3,1,0,0.25320616364479065
John Negroponte,0.3,3,1,0,0.2676638662815094
John Negroponte,0.4,3,1,0,0.1901402622461319
John Negroponte,0.5,3,1,0,0.2194804698228836
John Negroponte,0.6,3,1,0,0.001929188845679164
John Negroponte,0.7,3,0,0,nan
John Negroponte,0.8,3,0,0,nan
John Negroponte,0.9,3,0,0,nan
John Negroponte,1.0,3,0,0,nan
John Negroponte,0.0,4,1,1,0.5647960901260376
John Negroponte,0.1,4,1,1,0.5702090263366699
John Negroponte,0.2,4,1,1,0.5522526502609253
John Negroponte,0.3,4,1,1,0.5181094408035278
John Negroponte,0.4,4,1,1,0.4778743386268616
John Negroponte,0.5,4,1,0,0.3575643002986908
John Negroponte,0.6,4,1,0,0.3224491775035858
John Negroponte,0.7,4,0,0,nan
John Negroponte,0.8,4,0,0,nan
John Negroponte,0.9,4,0,0,nan
John Negroponte,1.0,4,0,0,nan
John Negroponte,0.0,5,1,1,0.6815295815467834
John Negroponte,0.1,5,1,1,0.6851547956466675
John Negroponte,0.2,5,1,1,0.6702176332473755
John Negroponte,0.3,5,1,1,0.6151368618011475
John Negroponte,0.4,5,1,1,0.38928166031837463
John Negroponte,0.5,5,1,1,0.49244219064712524
John Negroponte,0.6,5,1,0,0.3032708466053009
John Negroponte,0.7,5,0,0,nan
John Negroponte,0.8,5,0,0,nan
John Negroponte,0.9,5,0,0,nan
John Negroponte,1.0,5,0,0,nan
Jose Maria Aznar,0.0,0,1,1,0.498752623796463
Jose Maria Aznar,0.1,0,1,1,0.4995795488357544
Jose Maria Aznar,0.2,0,1,1,0.49722811579704285
Jose Maria Aznar,0.3,0,1,1,0.467022567987442
Jose Maria Aznar,0.4,0,1,1,0.44708696007728577
Jose Maria Aznar,0.5,0,1,1,0.3920629918575287
Jose Maria Aznar,0.6,0,1,0,0.21819892525672913
Jose Maria Aznar,0.7,0,0,0,nan
Jose Maria Aznar,0.8,0,0,0,nan
Jose Maria Aznar,0.9,0,0,0,nan
Jose Maria Aznar,1.0,0,0,0,nan
Jose Maria Aznar,0.0,1,1,1,0.44690412282943726
Jose Maria Aznar,0.1,1,1,1,0.444545716047287
Jose Maria Aznar,0.2,1,1,1,0.43761417269706726
Jose Maria Aznar,0.3,1,1,1,0.4161513149738312
Jose Maria Aznar,0.4,1,1,0,0.35141777992248535
Jose Maria Aznar,0.5,1,1,0,0.3613872528076172
Jose Maria Aznar,0.6,1,1,0,0.13910360634326935
Jose Maria Aznar,0.7,1,0,0,nan
Jose Maria Aznar,0.8,1,0,0,nan
Jose Maria Aznar,0.9,1,0,0,nan
Jose Maria Aznar,1.0,1,0,0,nan
Jose Maria Aznar,0.0,2,1,1,0.4474569261074066
Jose Maria Aznar,0.1,2,1,1,0.43648526072502136
Jose Maria Aznar,0.2,2,1,1,0.4265825152397156
Jose Maria Aznar,0.3,2,1,1,0.5079466700553894
Jose Maria Aznar,0.4,2,1,1,0.5090409517288208
Jose Maria Aznar,0.5,2,1,1,0.4696829915046692
Jose Maria Aznar,0.6,2,1,0,0.36245453357696533
Jose Maria Aznar,0.7,2,0,0,nan
Jose Maria Aznar,0.8,2,0,0,nan
Jose Maria Aznar,0.9,2,0,0,nan
Jose Maria Aznar,1.0,2,0,0,nan
Jose Maria Aznar,0.0,3,1,1,0.4399016499519348
Jose Maria Aznar,0.1,3,1,1,0.4436870515346527
Jose Maria Aznar,0.2,3,1,1,0.42434757947921753
Jose Maria Aznar,0.3,3,1,1,0.42478224635124207
Jose Maria Aznar,0.4,3,1,1,0.4090046286582947
Jose Maria Aznar,0.5,3,1,1,0.3830329179763794
Jose Maria Aznar,0.6,3,1,0,0.3589586019515991
